StudentID,Name,Age,Email,Department,GPA,GraduationYear
5119,Alexander Jones,25.0,emily28@hotmail.com,Physics,2.92,2024
7304,William Anderson,25.0,jacob29@gmail.com,Mathematics,3.51,2024
3663,Shawna Glover,19.0,alison62@barrett.com,Biology,2.75,2028
6423,Susan Galvan,22.0,theresa04@gmail.com,Chemistry,3.26,2028
5155,Jason King,24.0,oliviawalls@hotmail.com,Chemistry,3.74,2024
1066,Alexander Simmons,19.0,jrodriguez@cox.info,Biology,3.26,2028
5773,James Moore,24.0,daniel72@long.com,Physics,2.37,2024
8417,Frank Garza,19.0,jennifer82@cruz.com,Mathematics,2.67,2027
4235,Cynthia Parker DVM,22.0,jasminelewis@washington.com,Mathematics,2.02,2028
7002,Robert Smith,18.0,amanda74@gmail.com,Chemistry,2.7,2028
5998,Marie Valdez,18.0,xwarner@nelson.com,Computer Science,3.5,2030
9661,Patty Duke,18.0,sparksanna@gmail.com,Chemistry,3.6,2027
5144,Teresa Lucas,20.0,epatel@edwards-smith.info,Biology,3.47,2029
3719,Melanie Lowe,25.0,nicolepruitt@bell-gibson.org,Computer Science,3.05,2030
9310,Isaiah Morales,25.0,lutzjason@neal.biz,Physics,3.06,2025
9271,Connor Fry,19.0,masseytom@gmail.com,Chemistry,3.94,2030
4603,Autumn Nguyen,22.0,john53@hotmail.com,Mathematics,2.13,2030
5001,Jasmin Pena,23.0,ajackson@hotmail.com,Chemistry,3.64,2025
5618,Mrs. Carol Williams MD,22.0,janice01@yahoo.com,Physics,3.56,2027
3205,Andrew Lutz,20.0,patrick16@yahoo.com,Chemistry,3.16,2029
8431,Julie Martin,25.0,angelawilliams@gmail.com,Chemistry,3.56,2030
4604,Lisa Brown,19.0,annette64@gmail.com,Physics,2.81,2025
7287,Holly King,23.0,williamsjack@randolph.com,Chemistry,2.94,2024
3481,Ricky Sanders,19.0,buckleyandrew@gmail.com,Computer Science,3.8,2027
3068,Gary Taylor,21.0,veronicarogers@yahoo.com,Mathematics,2.62,2030
4514,Arthur Thornton,25.0,kirstenowen@yahoo.com,Biology,2.1,2024
2499,Eric Leonard,23.0,theresarosales@gmail.com,Biology,2.39,2027
5212,William Smith,23.0,daniel93@lee-morris.com,Mathematics,3.29,2028
5550,Daniel Daniel,22.0,christianbrown@yahoo.com,Physics,3.51,2027
8265,Joel Nicholson,24.0,michaelpratt@murray.net,Chemistry,2.79,2027
6398,Benjamin Burke,18.0,colemary@cochran.net,Computer Science,2.47,2025
2706,Brandi Roberts,24.0,joshua76@yahoo.com,Computer Science,3.88,2025
9410,Patrick Anderson,19.0,meganlewis@butler-bright.com,Computer Science,2.75,2029
5851,Jerry Butler,19.0,sherri94@hines.net,Computer Science,2.18,2030
9842,Cynthia Garrett,19.0,rhall@gmail.com,Mathematics,3.18,2027
6069,Carrie Hall,20.0,stewartlori@yahoo.com,Chemistry,2.33,2029
7081,Paul Brown,22.0,uyoder@miller.com,Chemistry,3.46,2027
9812,William Villarreal,20.0,petersoncheryl@davis-bush.com,Physics,3.92,2030
1790,Randy Pittman,19.0,robin33@knapp.com,Physics,3.92,2028
8268,Alexandra Roth,20.0,kristin46@hotmail.com,Mathematics,2.87,2025
1383,Stephanie Mitchell,18.0,michellemoody@williams.com,Chemistry,3.68,2026
4197,Michelle Kemp,23.0,susanwilliams@hotmail.com,Computer Science,2.53,2028
4517,Corey Hicks,25.0,fosterglen@gmail.com,Computer Science,3.23,2027
6733,Melinda Hancock,25.0,linda93@gmail.com,Biology,2.6,2026
5406,Julian Smith,22.0,joseph78@gmail.com,Computer Science,3.84,2029
5652,Brooke Davis,19.0,millerkevin@white.com,Chemistry,3.35,2030
4846,Diane Williams,20.0,zmclean@boyd.net,Computer Science,2.83,2027
9806,Stephanie Beck,18.0,rwinters@hotmail.com,Biology,2.74,2028
8526,Joe Kim,23.0,salinaschristine@gmail.com,Mathematics,3.5,2026
3257,Tammy Byrd,22.0,phillipsmith@gmail.com,Mathematics,3.67,2027
1214,Scott Gomez,24.0,jacksonjulie@estrada.org,Physics,3.28,2027
2921,Sean Davis,24.0,tina80@miller-navarro.com,Computer Science,3.97,2024
1853,Luis Hunter,19.0,uschultz@palmer-lambert.biz,Biology,3.07,2027
4418,Rachel Mahoney MD,25.0,teresamitchell@hernandez.net,Computer Science,2.14,2028
6729,Christina Woodward,18.0,juan08@yahoo.com,Physics,3.52,2026
4509,Shawna Moore,21.0,joseyoung@richardson.net,Physics,3.16,2024
8646,Stacy Jones,18.0,currymelissa@coleman-meza.info,Mathematics,2.84,2028
4675,Ms. Susan Suarez,25.0,amanda13@smith.org,Biology,3.86,2025
9291,Donna Briggs,23.0,avalenzuela@norris-wood.org,Chemistry,2.3,2028
8808,Tiffany Russell,20.0,kimberly95@gmail.com,Physics,2.7,2030
5441,Shawn Phillips,25.0,mbass@hotmail.com,Mathematics,3.77,2030
6001,Peter Wilson,22.0,qcantu@woods.info,Chemistry,3.39,2024
5630,Joe Bernard,21.0,kimberly88@herring.info,Chemistry,3.2,2024
4311,Brittany Hamilton,21.0,smithkaren@yahoo.com,Biology,3.95,2024
6577,Maria Rogers,20.0,reneemartinez@hotmail.com,Physics,2.11,2027
6809,Rebecca Miller,23.0,michaelconner@hotmail.com,Biology,2.76,2024
2318,Bryan Velazquez,25.0,bpowell@gmail.com,Mathematics,3.0,2030
4948,William Montgomery,22.0,chavezryan@smith.com,Chemistry,2.85,2024
7574,Robert Berg,24.0,stephensbrenda@perez.com,Physics,3.97,2030
8155,Peter White,23.0,goodwinrachel@burke.org,Computer Science,3.52,2028
5776,Ashley Garcia,20.0,daviscory@yahoo.com,Physics,3.37,2030
1857,Brandon Smith,25.0,ortizjoseph@moore.com,Computer Science,3.41,2025
1742,Kristen Orozco,20.0,vbonilla@ho.com,Biology,2.86,2030
4406,Joanna Logan,21.0,yflores@brooks.info,Physics,3.86,2030
2800,Mark Harper,19.0,mikayla15@chavez.com,Computer Science,2.99,2029
1666,Jaime Hanson,20.0,whitechristine@gonzalez.info,Computer Science,3.23,2027
1328,Johnathan Morris,21.0,cassiemcdonald@gmail.com,Biology,2.51,2030
7728,Jeffrey Sosa,24.0,nhardin@thomas.com,Computer Science,2.38,2025
6489,Mitchell Sharp,24.0,blackbrandi@gmail.com,Chemistry,3.25,2027
9047,Jose Peters,23.0,zrowe@morales.net,Chemistry,2.14,2025
5788,Jeffrey Torres,18.0,yvonnemiller@robinson.com,Biology,3.75,2025
8426,Noah Lee,25.0,olucas@cline-robinson.com,Physics,2.2,2027
8366,Jeremy Graham,20.0,dcontreras@hotmail.com,Biology,2.77,2030
2963,Mary Harrison,21.0,tylerbaldwin@yahoo.com,Biology,2.99,2027
3669,Meghan Roy,23.0,ystevens@yahoo.com,Computer Science,2.48,2025
4925,Kevin Moore,20.0,michaelarroyo@guerrero.com,Computer Science,3.63,2027
6915,Pedro Roth,23.0,knightkelly@miller-wong.org,Chemistry,3.03,2030
4538,Holly Donaldson,23.0,katherine18@hammond.info,Physics,3.65,2025
1663,Patricia Boyer,18.0,fcabrera@haynes-clark.com,Physics,3.32,2030
1708,Alexander Mccarty,22.0,sandra21@burnett-gutierrez.com,Biology,3.37,2027
9707,Michael Baldwin DDS,25.0,joshuagibbs@ross.biz,Computer Science,2.41,2026
4188,Anna Harper,23.0,marcpatel@gmail.com,Computer Science,3.8,2027
5902,Steve Green,24.0,gabrielbrown@hotmail.com,Chemistry,2.9,2025
7107,Edwin Boyd,18.0,aaron93@yahoo.com,Physics,3.44,2025
8040,Emily Chambers,20.0,bridgessavannah@yahoo.com,Physics,2.51,2029
4140,Hunter Martinez,21.0,sandy22@rollins.com,Physics,2.02,2028
3797,Victor Moss,21.0,morgan52@taylor.com,Physics,3.37,2029
7752,Kelly Lucas,18.0,schwartztina@yahoo.com,Physics,3.72,2026
8473,Reginald Richardson,21.0,bakerjeremy@young-jones.info,Computer Science,2.04,2024
1613,Patrick Sanchez,22.0,smithamanda@johnson.org,Chemistry,2.08,2026
8298,Michelle Chen DDS,24.0,rebeccapreston@young.info,Computer Science,2.5,2027
6502,Richard Sherman,22.0,alexandra82@yahoo.com,Physics,2.9,2030
7506,Robert Williams,18.0,salvarado@yahoo.com,Chemistry,3.18,2024
4633,Samuel Alexander,24.0,iherring@solis.com,Computer Science,3.77,2024
9239,Anthony Graham,21.0,anamartin@hotmail.com,Mathematics,2.02,2026
9872,Dr. Lynn Hoffman,25.0,jonathangarner@yahoo.com,Mathematics,3.26,2027
6585,Miss April Howard,21.0,brusso@hotmail.com,Mathematics,2.3,2024
1594,Tyler Rodriguez,23.0,cruzjohn@hotmail.com,Physics,3.86,2028
7265,Kevin Bowman,25.0,brownronald@clay.com,Chemistry,3.98,2030
9985,Christopher Henry,19.0,steelejohn@nguyen.com,Chemistry,3.07,2030
9204,Joshua Richardson,22.0,stephenanderson@gmail.com,Chemistry,2.14,2024
1959,Amy Washington,21.0,stephen13@miller.com,Biology,3.85,2030
4036,Amanda Cook,18.0,hannahdillon@giles.com,Computer Science,3.19,2028
3694,Scott Montes,24.0,vanessameyers@hotmail.com,Chemistry,2.03,2026
7829,Sean Thomas,21.0,april31@gmail.com,Physics,3.64,2029
8694,Amanda Roberts,19.0,michael36@yahoo.com,Biology,2.55,2029
9382,Joanna Rose,22.0,timothyfuentes@gmail.com,Physics,2.71,2025
1113,Willie Russell,18.0,susan10@yahoo.com,Computer Science,2.51,2028
7637,Peter Day,19.0,smaynard@cole.com,Mathematics,3.99,2029
6344,Matthew Sherman,21.0,woodmonica@gmail.com,Physics,3.47,2024
5468,Stephanie Moore DDS,19.0,cynthia58@yahoo.com,Physics,3.78,2025
2698,Brandon Fletcher,18.0,juliepeterson@pearson-shepherd.net,Computer Science,3.71,2030
7871,Ryan Thomas,20.0,whitakerjoseph@yahoo.com,Chemistry,2.59,2027
8556,Mrs. Amber Luna DVM,19.0,zgray@salazar.net,Chemistry,2.62,2029
5031,Crystal Fry,20.0,xstewart@huff.org,Computer Science,3.0,2025
2575,William Le,20.0,morr@gmail.com,Physics,2.78,2029
2322,Antonio Carter,20.0,jameslisa@morrison.com,Biology,2.45,2026
9056,Beth Abbott,24.0,jhill@bell.com,Computer Science,2.58,2025
6326,Christine Howard,21.0,brianna99@hotmail.com,Chemistry,2.98,2029
8790,Chelsea Arellano,23.0,gregory11@russell-morris.com,Physics,3.14,2028
3873,Stacy Rodriguez,22.0,tranjulia@romero.biz,Computer Science,3.59,2026
3176,Shannon Green,22.0,ogordon@guerrero-holt.com,Chemistry,2.22,2030
9203,Donna Reed,19.0,dennisconner@sellers.com,Physics,3.12,2027
9676,Michelle Wang,24.0,mikecollins@gmail.com,Computer Science,3.44,2028
2142,Thomas Barker,25.0,mmelendez@lewis.com,Chemistry,2.54,2028
4138,Kimberly Cline,23.0,davismatthew@gmail.com,Biology,2.1,2029
8314,Clinton Weber,25.0,bhiggins@jenkins-stevenson.com,Biology,3.98,2027
9826,Lindsay Murphy,19.0,tammyjones@clayton.info,Computer Science,3.71,2026
5149,Mallory May,25.0,morrisonlucas@gmail.com,Biology,2.98,2029
9098,Larry Torres,25.0,rachel70@hotmail.com,Physics,2.01,2030
2991,Tina Mccormick,25.0,zthompson@lee.com,Physics,2.09,2027
6780,Brian Sampson,22.0,jamesgeorge@yahoo.com,Physics,3.11,2025
1363,Christine Park,19.0,goodwinerica@brown.com,Computer Science,2.0,2027
6589,Vicki Lewis,22.0,bperry@hotmail.com,Computer Science,3.9,2028
9377,Matthew Black,24.0,lewisbetty@hotmail.com,Mathematics,2.63,2029
2982,Felicia Lee,18.0,torresjacqueline@chambers-woodard.net,Biology,2.61,2028
7186,James Black,22.0,sgarza@nunez.net,Physics,2.04,2026
4265,James Mitchell,21.0,gracejohnson@yahoo.com,Mathematics,3.27,2026
9696,Alexander Mcconnell,24.0,corysmith@anderson-anderson.com,Chemistry,3.27,2029
8291,Danielle Clark,24.0,crystal02@schmidt.com,Mathematics,3.41,2029
5094,Robert Foster,24.0,teresamoreno@rubio-sanchez.com,Computer Science,2.08,2030
7933,Gary Clark,23.0,alyssawagner@gmail.com,Physics,3.96,2026
2962,Cynthia Martin,24.0,caitlynmoody@adams.com,Physics,3.42,2026
7780,Brianna Cunningham,21.0,alexanderfernando@gmail.com,Mathematics,2.51,2030
8082,Dr. Jesus Johnson,21.0,xharris@hotmail.com,Chemistry,2.14,2026
7240,Jessica Jarvis,22.0,nhurst@hester.info,Biology,2.34,2029
3033,Theresa Hensley,21.0,evance@moore.org,Mathematics,2.92,2030
2538,James Mckee,23.0,andersonmichelle@yahoo.com,Physics,2.24,2025
3406,Jonathan Blanchard,25.0,jonathanfoster@sanchez.com,Computer Science,2.06,2026
5615,Melissa Estrada,18.0,bowmanmatthew@martin-duran.org,Biology,2.17,2029
3994,John Gallagher,23.0,elliottsheryl@wilcox.net,Chemistry,2.57,2026
3274,Catherine Velasquez,22.0,fsutton@gmail.com,Physics,2.71,2025
3609,Joyce Thomas,19.0,zanderson@barrera.net,Chemistry,2.22,2030
9179,Theresa Hughes,21.0,mstanley@yahoo.com,Mathematics,3.23,2025
4463,Steven Golden,19.0,nvasquez@yahoo.com,Computer Science,3.9,2025
6178,Miss April Smith,20.0,logansanchez@manning.com,Mathematics,3.15,2028
2001,Hassaan Zeeshan,18.0,m.hassaanzeeshan11@gmail.com,Computer Science,3.0,2027
2002,taha,,,Mathematics,,2000
2003,talha zeeshan,13.0,m.talhazeeshan11@gmail.com,Physics,3.0,2029
